type_id, subtype_id, start_time, end_time, duration, interest_rate 
2, 5, '1970-6-01 00:00:00', , 24, 2.111
2, 4, '1970-6-01 00:00:00', , 12, 2.051
2, 3, '1970-6-01 00:00:00', , 9, 2.004
2, 2, '1970-6-01 00:00:00', , 6, 2.003
2, 1, '1970-6-01 00:00:00', , 3, 2.002
3, 9, '1970-6-01 00:00:00', , 1, 1.165
3, 8, '1970-6-01 00:00:00', , 1, 0.679
3, 7, '1970-6-01 00:00:00', , 1, 0.193
1, 10, '1970-7-01 00:00:00', , 1, 2.026
2, 6, '1970-7-01 00:00:00', , 36, 2.256
2, 5, '1970-7-01 00:00:00', , 24, 2.136
2, 4, '1970-7-01 00:00:00', , 12, 2.076
2, 3, '1970-7-01 00:00:00', , 9, 2.029
2, 2, '1970-7-01 00:00:00', , 6, 2.028
2, 1, '1970-7-01 00:00:00', , 3, 2.027
3, 9, '1970-7-01 00:00:00', , 1, -0.775
3, 8, '1970-7-01 00:00:00', , 1, -0.179
3, 7, '1970-7-01 00:00:00', , 1, 0.417
1, 10, '1970-7-01 00:00:00', , 1, 2.026
2, 6, '1970-7-01 00:00:00', , 36, 2.256
2, 5, '1970-7-01 00:00:00', , 24, 2.136
2, 4, '1970-7-01 00:00:00', , 12, 2.076
2, 3, '1970-7-01 00:00:00', , 9, 2.029
2, 2, '1970-7-01 00:00:00', , 6, 2.028
2, 1, '1970-7-01 00:00:00', , 3, 2.027
3, 9, '1970-7-01 00:00:00', , 1, -0.775
3, 8, '1970-7-01 00:00:00', , 1, -0.179
3, 7, '1970-7-01 00:00:00', , 1, 0.417
1, 10, '1970-7-01 00:00:00', , 1, 2.026
2, 6, '1970-7-01 00:00:00', , 36, 2.256
2, 5, '1970-7-01 00:00:00', , 24, 2.136
2, 4, '1970-7-01 00:00:00', , 12, 2.076
2, 3, '1970-7-01 00:00:00', , 9, 2.029
2, 2, '1970-7-01 00:00:00', , 6, 2.028
2, 1, '1970-7-01 00:00:00', , 3, 2.027
3, 9, '1970-7-01 00:00:00', , 1, -0.775
3, 8, '1970-7-01 00:00:00', , 1, -0.179
3, 7, '1970-7-01 00:00:00', , 1, 0.417
1, 10, '1970-8-01 00:00:00', , 1, 2.012
2, 6, '1970-8-01 00:00:00', , 36, 2.242
2, 5, '1970-8-01 00:00:00', , 24, 2.122
2, 4, '1970-8-01 00:00:00', , 12, 2.062
2, 3, '1970-8-01 00:00:00', , 9, 2.015
2, 2, '1970-8-01 00:00:00', , 6, 2.014
2, 1, '1970-8-01 00:00:00', , 3, 2.013
3, 9, '1970-8-01 00:00:00', , 1, 2.426
3, 8, '1970-8-01 00:00:00', , 1, 1.276
3, 7, '1970-8-01 00:00:00', , 1, 0.126
1, 10, '1970-8-01 00:00:00', , 1, 2.012
2, 6, '1970-8-01 00:00:00', , 36, 2.242
2, 5, '1970-8-01 00:00:00', , 24, 2.122
2, 4, '1970-8-01 00:00:00', , 12, 2.062
2, 3, '1970-8-01 00:00:00', , 9, 2.015
2, 2, '1970-8-01 00:00:00', , 6, 2.014
2, 1, '1970-8-01 00:00:00', , 3, 2.013
3, 9, '1970-8-01 00:00:00', , 1, 2.426
3, 8, '1970-8-01 00:00:00', , 1, 1.276
3, 7, '1970-8-01 00:00:00', , 1, 0.126
1, 10, '1970-8-01 00:00:00', , 1, 2.012
2, 6, '1970-8-01 00:00:00', , 36, 2.242
2, 5, '1970-8-01 00:00:00', , 24, 2.122
2, 4, '1970-8-01 00:00:00', , 12, 2.062
2, 3, '1970-8-01 00:00:00', , 9, 2.015
2, 2, '1970-8-01 00:00:00', , 6, 2.014
2, 1, '1970-8-01 00:00:00', , 3, 2.013
3, 9, '1970-8-01 00:00:00', , 1, 2.426
3, 8, '1970-8-01 00:00:00', , 1, 1.276
3, 7, '1970-8-01 00:00:00', , 1, 0.126
1, 10, '1970-9-01 00:00:00', , 1, 2.003
2, 6, '1970-9-01 00:00:00', , 36, 2.233
2, 5, '1970-9-01 00:00:00', , 24, 2.113
2, 4, '1970-9-01 00:00:00', , 12, 2.053
2, 3, '1970-9-01 00:00:00', , 9, 2.006
2, 2, '1970-9-01 00:00:00', , 6, 2.005
2, 1, '1970-9-01 00:00:00', , 3, 2.004
3, 9, '1970-9-01 00:00:00', , 1, 0.806
3, 8, '1970-9-01 00:00:00', , 1, 0.482
3, 7, '1970-9-01 00:00:00', , 1, 0.157
1, 10, '1970-9-01 00:00:00', , 1, 2.003
2, 6, '1970-9-01 00:00:00', , 36, 2.233
2, 5, '1970-9-01 00:00:00', , 24, 2.113
2, 4, '1970-9-01 00:00:00', , 12, 2.053
2, 3, '1970-9-01 00:00:00', , 9, 2.006
2, 2, '1970-9-01 00:00:00', , 6, 2.005
2, 1, '1970-9-01 00:00:00', , 3, 2.004
3, 9, '1970-9-01 00:00:00', , 1, 0.806
3, 8, '1970-9-01 00:00:00', , 1, 0.482
3, 7, '1970-9-01 00:00:00', , 1, 0.157
1, 10, '1970-9-01 00:00:00', , 1, 2.003
2, 6, '1970-9-01 00:00:00', , 36, 2.233
2, 5, '1970-9-01 00:00:00', , 24, 2.113
2, 4, '1970-9-01 00:00:00', , 12, 2.053
2, 3, '1970-9-01 00:00:00', , 9, 2.006
2, 2, '1970-9-01 00:00:00', , 6, 2.005
2, 1, '1970-9-01 00:00:00', , 3, 2.004
3, 9, '1970-9-01 00:00:00', , 1, 0.806
3, 8, '1970-9-01 00:00:00', , 1, 0.482
3, 7, '1970-9-01 00:00:00', , 1, 0.157
1, 10, '1970-10-01 00:00:00', , 1, 2.005
2, 6, '1970-10-01 00:00:00', , 36, 2.235
2, 5, '1970-10-01 00:00:00', , 24, 2.115
2, 4, '1970-10-01 00:00:00', , 12, 2.055
2, 3, '1970-10-01 00:00:00', , 9, 2.008
2, 2, '1970-10-01 00:00:00', , 6, 2.007
2, 1, '1970-10-01 00:00:00', , 3, 2.006
3, 9, '1970-10-01 00:00:00', , 1, 0.510
3, 8, '1970-10-01 00:00:00', , 1, 0.346
3, 7, '1970-10-01 00:00:00', , 1, 0.182
1, 10, '1970-10-01 00:00:00', , 1, 2.005
2, 6, '1970-10-01 00:00:00', , 36, 2.235
2, 5, '1970-10-01 00:00:00', , 24, 2.115
2, 4, '1970-10-01 00:00:00', , 12, 2.055
2, 3, '1970-10-01 00:00:00', , 9, 2.008
2, 2, '1970-10-01 00:00:00', , 6, 2.007
2, 1, '1970-10-01 00:00:00', , 3, 2.006
3, 9, '1970-10-01 00:00:00', , 1, 0.510
3, 8, '1970-10-01 00:00:00', , 1, 0.346
3, 7, '1970-10-01 00:00:00', , 1, 0.182
1, 10, '1970-10-01 00:00:00', , 1, 2.005
2, 6, '1970-10-01 00:00:00', , 36, 2.235
2, 5, '1970-10-01 00:00:00', , 24, 2.115
2, 4, '1970-10-01 00:00:00', , 12, 2.055
2, 3, '1970-10-01 00:00:00', , 9, 2.008
2, 2, '1970-10-01 00:00:00', , 6, 2.007
2, 1, '1970-10-01 00:00:00', , 3, 2.006
3, 9, '1970-10-01 00:00:00', , 1, 0.510
3, 8, '1970-10-01 00:00:00', , 1, 0.346
3, 7, '1970-10-01 00:00:00', , 1, 0.182
1, 10, '1970-11-01 00:00:00', , 1, 1.991
2, 6, '1970-11-01 00:00:00', , 36, 2.221
2, 5, '1970-11-01 00:00:00', , 24, 2.101
2, 4, '1970-11-01 00:00:00', , 12, 2.041
2, 3, '1970-11-01 00:00:00', , 9, 1.994
2, 2, '1970-11-01 00:00:00', , 6, 1.993
2, 1, '1970-11-01 00:00:00', , 3, 1.992
3, 9, '1970-11-01 00:00:00', , 1, 0.201
3, 8, '1970-11-01 00:00:00', , 1, 0.313
3, 7, '1970-11-01 00:00:00', , 1, 0.425
1, 10, '1970-11-01 00:00:00', , 1, 1.991
2, 6, '1970-11-01 00:00:00', , 36, 2.221
2, 5, '1970-11-01 00:00:00', , 24, 2.101
2, 4, '1970-11-01 00:00:00', , 12, 2.041
2, 3, '1970-11-01 00:00:00', , 9, 1.994
2, 2, '1970-11-01 00:00:00', , 6, 1.993
2, 1, '1970-11-01 00:00:00', , 3, 1.992
3, 9, '1970-11-01 00:00:00', , 1, 0.201
3, 8, '1970-11-01 00:00:00', , 1, 0.313
3, 7, '1970-11-01 00:00:00', , 1, 0.425
1, 10, '1970-11-01 00:00:00', , 1, 1.991
2, 6, '1970-11-01 00:00:00', , 36, 2.221
2, 5, '1970-11-01 00:00:00', , 24, 2.101
2, 4, '1970-11-01 00:00:00', , 12, 2.041
2, 3, '1970-11-01 00:00:00', , 9, 1.994
2, 2, '1970-11-01 00:00:00', , 6, 1.993
2, 1, '1970-11-01 00:00:00', , 3, 1.992
3, 9, '1970-11-01 00:00:00', , 1, 0.201
3, 8, '1970-11-01 00:00:00', , 1, 0.313
3, 7, '1970-11-01 00:00:00', , 1, 0.425
1, 10, '1970-12-01 00:00:00', , 1, 1.993
2, 6, '1970-12-01 00:00:00', , 36, 2.223
2, 5, '1970-12-01 00:00:00', , 24, 2.103
2, 4, '1970-12-01 00:00:00', , 12, 2.043
2, 3, '1970-12-01 00:00:00', , 9, 1.996
2, 2, '1970-12-01 00:00:00', , 6, 1.995
2, 1, '1970-12-01 00:00:00', , 3, 1.994
3, 9, '1970-12-01 00:00:00', , 1, 0.893
3, 8, '1970-12-01 00:00:00', , 1, 0.804
3, 7, '1970-12-01 00:00:00', , 1, 0.715
1, 10, '1970-12-01 00:00:00', , 1, 1.993
2, 6, '1970-12-01 00:00:00', , 36, 2.223
2, 5, '1970-12-01 00:00:00', , 24, 2.103
2, 4, '1970-12-01 00:00:00', , 12, 2.043
2, 3, '1970-12-01 00:00:00', , 9, 1.996
2, 2, '1970-12-01 00:00:00', , 6, 1.995
2, 1, '1970-12-01 00:00:00', , 3, 1.994
3, 9, '1970-12-01 00:00:00', , 1, 0.893
3, 8, '1970-12-01 00:00:00', , 1, 0.804
3, 7, '1970-12-01 00:00:00', , 1, 0.715
1, 10, '1970-12-01 00:00:00', , 1, 1.993
2, 6, '1970-12-01 00:00:00', , 36, 2.223
2, 5, '1970-12-01 00:00:00', , 24, 2.103
2, 4, '1970-12-01 00:00:00', , 12, 2.043
2, 3, '1970-12-01 00:00:00', , 9, 1.996
2, 2, '1970-12-01 00:00:00', , 6, 1.995
2, 1, '1970-12-01 00:00:00', , 3, 1.994
3, 9, '1970-12-01 00:00:00', , 1, 0.893
3, 8, '1970-12-01 00:00:00', , 1, 0.804
3, 7, '1970-12-01 00:00:00', , 1, 0.715
1, 10, '1971-1-01 00:00:00', , 1, 2.002
2, 6, '1971-1-01 00:00:00', , 36, 2.232
2, 5, '1971-1-01 00:00:00', , 24, 2.112
2, 4, '1971-1-01 00:00:00', , 12, 2.052
2, 3, '1971-1-01 00:00:00', , 9, 2.005
2, 2, '1971-1-01 00:00:00', , 6, 2.004
2, 1, '1971-1-01 00:00:00', , 3, 2.003
3, 9, '1971-1-01 00:00:00', , 1, 0.219
3, 8, '1971-1-01 00:00:00', , 1, 0.280
3, 7, '1971-1-01 00:00:00', , 1, 0.340
1, 10, '1971-1-01 00:00:00', , 1, 2.002
2, 6, '1971-1-01 00:00:00', , 36, 2.232
2, 5, '1971-1-01 00:00:00', , 24, 2.112
2, 4, '1971-1-01 00:00:00', , 12, 2.052
2, 3, '1971-1-01 00:00:00', , 9, 2.005
2, 2, '1971-1-01 00:00:00', , 6, 2.004
2, 1, '1971-1-01 00:00:00', , 3, 2.003
3, 9, '1971-1-01 00:00:00', , 1, 0.219
3, 8, '1971-1-01 00:00:00', , 1, 0.280
3, 7, '1971-1-01 00:00:00', , 1, 0.340
1, 10, '1971-1-01 00:00:00', , 1, 2.002
2, 6, '1971-1-01 00:00:00', , 36, 2.232
2, 5, '1971-1-01 00:00:00', , 24, 2.112
2, 4, '1971-1-01 00:00:00', , 12, 2.052
2, 3, '1971-1-01 00:00:00', , 9, 2.005
2, 2, '1971-1-01 00:00:00', , 6, 2.004
2, 1, '1971-1-01 00:00:00', , 3, 2.003
3, 9, '1971-1-01 00:00:00', , 1, 0.219
3, 8, '1971-1-01 00:00:00', , 1, 0.280
3, 7, '1971-1-01 00:00:00', , 1, 0.340
1, 10, '1971-2-01 00:00:00', , 1, 1.998
2, 6, '1971-2-01 00:00:00', , 36, 2.228
2, 5, '1971-2-01 00:00:00', , 24, 2.108
2, 4, '1971-2-01 00:00:00', , 12, 2.048
2, 3, '1971-2-01 00:00:00', , 9, 2.001
2, 2, '1971-2-01 00:00:00', , 6, 2.000
2, 1, '1971-2-01 00:00:00', , 3, 1.999
3, 9, '1971-2-01 00:00:00', , 1, 0.886
3, 8, '1971-2-01 00:00:00', , 1, 0.516
3, 7, '1971-2-01 00:00:00', , 1, 0.147
1, 10, '1971-2-01 00:00:00', , 1, 1.998
2, 6, '1971-2-01 00:00:00', , 36, 2.228
2, 5, '1971-2-01 00:00:00', , 24, 2.108
2, 4, '1971-2-01 00:00:00', , 12, 2.048
2, 3, '1971-2-01 00:00:00', , 9, 2.001
2, 2, '1971-2-01 00:00:00', , 6, 2.000
2, 1, '1971-2-01 00:00:00', , 3, 1.999
3, 9, '1971-2-01 00:00:00', , 1, 0.886
3, 8, '1971-2-01 00:00:00', , 1, 0.516
3, 7, '1971-2-01 00:00:00', , 1, 0.147
1, 10, '1971-2-01 00:00:00', , 1, 1.998
2, 6, '1971-2-01 00:00:00', , 36, 2.228
2, 5, '1971-2-01 00:00:00', , 24, 2.108
2, 4, '1971-2-01 00:00:00', , 12, 2.048
2, 3, '1971-2-01 00:00:00', , 9, 2.001
2, 2, '1971-2-01 00:00:00', , 6, 2.000
2, 1, '1971-2-01 00:00:00', , 3, 1.999
3, 9, '1971-2-01 00:00:00', , 1, 0.886
3, 8, '1971-2-01 00:00:00', , 1, 0.516
3, 7, '1971-2-01 00:00:00', , 1, 0.147
1, 10, '1971-3-01 00:00:00', , 1, 1.982
2, 6, '1971-3-01 00:00:00', , 36, 2.212
2, 5, '1971-3-01 00:00:00', , 24, 2.092
2, 4, '1971-3-01 00:00:00', , 12, 2.032
2, 3, '1971-3-01 00:00:00', , 9, 1.985
2, 2, '1971-3-01 00:00:00', , 6, 1.984
2, 1, '1971-3-01 00:00:00', , 3, 1.983
3, 9, '1971-3-01 00:00:00', , 1, 0.164
3, 8, '1971-3-01 00:00:00', , 1, 0.293
3, 7, '1971-3-01 00:00:00', , 1, 0.423
1, 10, '1971-3-01 00:00:00', , 1, 1.982
2, 6, '1971-3-01 00:00:00', , 36, 2.212
2, 5, '1971-3-01 00:00:00', , 24, 2.092
2, 4, '1971-3-01 00:00:00', , 12, 2.032
2, 3, '1971-3-01 00:00:00', , 9, 1.985
2, 2, '1971-3-01 00:00:00', , 6, 1.984
2, 1, '1971-3-01 00:00:00', , 3, 1.983
3, 9, '1971-3-01 00:00:00', , 1, 0.164
3, 8, '1971-3-01 00:00:00', , 1, 0.293
3, 7, '1971-3-01 00:00:00', , 1, 0.423
1, 10, '1971-3-01 00:00:00', , 1, 1.982
2, 6, '1971-3-01 00:00:00', , 36, 2.212
2, 5, '1971-3-01 00:00:00', , 24, 2.092
2, 4, '1971-3-01 00:00:00', , 12, 2.032
2, 3, '1971-3-01 00:00:00', , 9, 1.985
2, 2, '1971-3-01 00:00:00', , 6, 1.984
2, 1, '1971-3-01 00:00:00', , 3, 1.983
3, 9, '1971-3-01 00:00:00', , 1, 0.164
3, 8, '1971-3-01 00:00:00', , 1, 0.293
3, 7, '1971-3-01 00:00:00', , 1, 0.423
1, 10, '1971-4-01 00:00:00', , 1, 1.973
2, 6, '1971-4-01 00:00:00', , 36, 2.203
2, 5, '1971-4-01 00:00:00', , 24, 2.083
2, 4, '1971-4-01 00:00:00', , 12, 2.023
2, 3, '1971-4-01 00:00:00', , 9, 1.976
2, 2, '1971-4-01 00:00:00', , 6, 1.975
2, 1, '1971-4-01 00:00:00', , 3, 1.974
3, 9, '1971-4-01 00:00:00', , 1, -0.494
3, 8, '1971-4-01 00:00:00', , 1, -0.130
3, 7, '1971-4-01 00:00:00', , 1, 0.234
1, 10, '1971-4-01 00:00:00', , 1, 1.973
2, 6, '1971-4-01 00:00:00', , 36, 2.203
2, 5, '1971-4-01 00:00:00', , 24, 2.083
2, 4, '1971-4-01 00:00:00', , 12, 2.023
2, 3, '1971-4-01 00:00:00', , 9, 1.976
2, 2, '1971-4-01 00:00:00', , 6, 1.975
2, 1, '1971-4-01 00:00:00', , 3, 1.974
3, 9, '1971-4-01 00:00:00', , 1, -0.494
3, 8, '1971-4-01 00:00:00', , 1, -0.130
3, 7, '1971-4-01 00:00:00', , 1, 0.234
1, 10, '1971-4-01 00:00:00', , 1, 1.973
2, 6, '1971-4-01 00:00:00', , 36, 2.203
2, 5, '1971-4-01 00:00:00', , 24, 2.083
2, 4, '1971-4-01 00:00:00', , 12, 2.023
2, 3, '1971-4-01 00:00:00', , 9, 1.976
2, 2, '1971-4-01 00:00:00', , 6, 1.975
2, 1, '1971-4-01 00:00:00', , 3, 1.974
3, 9, '1971-4-01 00:00:00', , 1, -0.494
3, 8, '1971-4-01 00:00:00', , 1, -0.130
3, 7, '1971-4-01 00:00:00', , 1, 0.234
1, 10, '1971-5-01 00:00:00', , 1, 1.977
2, 6, '1971-5-01 00:00:00', , 36, 2.207
2, 5, '1971-5-01 00:00:00', , 24, 2.087
2, 4, '1971-5-01 00:00:00', , 12, 2.027
2, 3, '1971-5-01 00:00:00', , 9, 1.980
2, 2, '1971-5-01 00:00:00', , 6, 1.979
2, 1, '1971-5-01 00:00:00', , 3, 1.978
3, 9, '1971-5-01 00:00:00', , 1, 0.054
3, 8, '1971-5-01 00:00:00', , 1, 0.192
3, 7, '1971-5-01 00:00:00', , 1, 0.330
1, 10, '1971-5-01 00:00:00', , 1, 1.977
2, 6, '1971-5-01 00:00:00', , 36, 2.207
2, 5, '1971-5-01 00:00:00', , 24, 2.087
2, 4, '1971-5-01 00:00:00', , 12, 2.027
2, 3, '1971-5-01 00:00:00', , 9, 1.980
2, 2, '1971-5-01 00:00:00', , 6, 1.979
2, 1, '1971-5-01 00:00:00', , 3, 1.978
3, 9, '1971-5-01 00:00:00', , 1, 0.054
